"德语固定搭配：成功完成（如考试、学业）并将其抛在脑后，用 ""etwas _____ sich lassen"" 表示。",hinter
"短语：""Prüfungen erfolgreich hinter sich lassen"" 的中文含义是什么？",成功通过考试/顺利完成考试。
"德语固定搭配：获得对……的了解/洞察，用 ""einen _____ in etwas bekommen"" 表示。",Einblick
"短语：""einen Einblick in das Arbeitsleben bekommen"" 的中文含义是什么？",获得对职业生涯/工作生活的了解。
"德语固定搭配：给某人勇气/鼓励某人，用 ""jemandem Mut _____"" 表示。",machen
"短语：""Es hat mir viel Mut gemacht"" 的中文含义是什么？",这给了我很大勇气/这极大鼓舞了我。
"德语固定搭配：积累能力/收集技能，用 ""Kompetenzen _____"" 表示。",sammeln
"短语：""genug Kompetenzen gesammelt haben"" 的中文含义是什么？",已经积累了足够的能力。
"德语介词搭配：在……框架下/在……过程中，用 ""_____ Rahmen von"" 表示。",im
"德语固定搭配：观察某人的工作/向某人取经（原义：从某人肩膀后看过去），用 ""jemandem _____ die Schulter schauen"" 表示。",über
"短语：""bei der Arbeit über die Schulter schauen"" 的中文含义是什么？",在工作中观察/学习（近距离观摩）。
"德语职业词汇：""systemischer Coach"" 的中文含义是什么？",系统性教练/系统化辅导员。
"德语动词：表示“将……联系在一起/使……相识”的动词是 ""_____"" (Task 32)。",zusammenführen
"德语形容词：""vielfältig"" 的中文含义是什么？",多样化的/丰富多彩的。
"德语固定搭配：被考虑/合乎打算，用 ""_____ Frage kommen"" 表示。",in
"短语：""nicht nur Verlagsarbeit kommen in Frage"" 的中文含义是什么？",不只是出版工作可以被考虑。
"德语表达：开拓视野，用 ""den _____ für etwas öffnen"" 表示。",Blick
"短语：""den Blick für andere Bereiche öffnen"" 的中文含义是什么？",开阔对其他领域的视野/关注其他领域。
"德语表达：将其视为……的一个重要步骤，用 ""als ersten wichtigen _____ sehen"" 表示。",Schritt
"短语：""Schritt für die eigene Zukunftsplanung"" 的中文含义是什么？",个人未来规划的一步。
"德语固定搭配：对……感到兴奋/赞叹，用 ""_____ etwas begeistert sein"" 表示。",von
"德语固定搭配：在自己的打算/计划中感到自信，用 ""sicher in seinem _____"" 表示。",Vorhaben
"德语固定搭配：详细地回答问题，用 ""Fragen _____ beantworten"" 表示。",ausführlich
"德语固定搭配：发表声明/作陈述/表态，用 ""eine _____ geben"" 表示。",Stellungnahme
"短语：""einem TV-Team eine Stellungnahme geben"" 的中文含义是什么？",向电视团队发表声明/接受采访表态。
"德语表达：满足期待，用 ""Erwartungen _____"" 表示。",erfüllen
"德语表达：正在访问/做客，用 ""_____ Besuch sein"" 表示。",zu
"德语固定搭配：充满热情地（表达某种程度），用 ""_____ Begeisterung"" 表示。",voller
"德语表达：被视为一种丰富/精神财富，用 ""als _____ empfinden"" 表示。",Bereicherung
"德语固定搭配：争取某人参加（程序/项目），用 ""jemanden für ein Programm _____"" 表示。",gewinnen
"德语形容词：""beteiligt"" 后面通常接哪个介词？",an (plus Dativ)
"短语：""die am Projekt beteiligten Alumni"" 的中文含义是什么？",参与该项目的校友。
"德语名词：""Alumni"" 指的是什么群体？",（大学的）毕业生/校友。
"德语词汇：""Geisteswissenschaften"" 的中文含义是什么？",人文学科。
